CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.45
CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.45
CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.45
CUB200, seed 1, 1 shot, weight 562.341325190349, test_acc 23.79
CUB200, seed 1, 1 shot, weight 562.341325190349, test_acc 23.79
CUB200, seed 1, 1 shot, weight 649.3816315762112, test_acc 22.62
CUB200, seed 1, 1 shot, weight 649.3816315762112, test_acc 22.62
Caltech101, seed 1, 1 shot, weight 100000.0, test_acc 67.02
Caltech101, seed 1, 1 shot, weight 100000.0, test_acc 67.02
Caltech101, seed 1, 1 shot, weight 100000.0, test_acc 67.02
Caltech101, seed 1, 1 shot, weight 100000.0, test_acc 67.02
Caltech101, seed 1, 1 shot, weight 100000.0, test_acc 67.02
Caltech101, seed 1, 1 shot, weight 100000.0, test_acc 67.02
Caltech101, seed 1, 1 shot, weight 100000.0, test_acc 67.02
Caltech101, seed 1, 1 shot, weight 100000.0, test_acc 67.02
Caltech101, seed 2, 1 shot, weight 10.0, test_acc 70.59
Caltech101, seed 2, 1 shot, weight 100.0, test_acc 70.79
Caltech101, seed 2, 1 shot, weight 100.0, test_acc 70.79
Caltech101, seed 2, 1 shot, weight 100.0, test_acc 70.79
Caltech101, seed 2, 1 shot, weight 100.0, test_acc 70.79
Caltech101, seed 2, 1 shot, weight 100.0, test_acc 70.79
Caltech101, seed 2, 1 shot, weight 100.0, test_acc 70.79
Caltech101, seed 2, 1 shot, weight 100.0, test_acc 70.79
Caltech101, seed 3, 1 shot, weight 10.0, test_acc 71.03
Caltech101, seed 3, 1 shot, weight 10.0, test_acc 71.03
Caltech101, seed 3, 1 shot, weight 10.0, test_acc 71.03
Caltech101, seed 3, 1 shot, weight 10.0, test_acc 71.03
Caltech101, seed 3, 1 shot, weight 10.0, test_acc 71.03
Caltech101, seed 3, 1 shot, weight 10.0, test_acc 71.03
Caltech101, seed 3, 1 shot, weight 10.0, test_acc 71.03
Caltech101, seed 3, 1 shot, weight 10.0, test_acc 71.03
Caltech101, seed 1, 2 shot, weight 10.0, test_acc 79.19
Caltech101, seed 1, 2 shot, weight 10.0, test_acc 79.19
Caltech101, seed 1, 2 shot, weight 10.0, test_acc 79.19
Caltech101, seed 1, 2 shot, weight 10.0, test_acc 79.19
Caltech101, seed 1, 2 shot, weight 10.0, test_acc 79.19
Caltech101, seed 1, 2 shot, weight 10.0, test_acc 79.19
Caltech101, seed 1, 2 shot, weight 10.0, test_acc 79.19
Caltech101, seed 1, 2 shot, weight 10.0, test_acc 79.19
Caltech101, seed 2, 2 shot, weight 10.0, test_acc 79.55
Caltech101, seed 2, 2 shot, weight 1.0, test_acc 78.50
Caltech101, seed 2, 2 shot, weight 1.0, test_acc 78.50
Caltech101, seed 2, 2 shot, weight 1.0, test_acc 78.50
Caltech101, seed 2, 2 shot, weight 1.0, test_acc 78.50
Caltech101, seed 2, 2 shot, weight 1.0, test_acc 78.50
Caltech101, seed 2, 2 shot, weight 1.0, test_acc 78.50
Caltech101, seed 2, 2 shot, weight 1.0, test_acc 78.50
Caltech101, seed 3, 2 shot, weight 10.0, test_acc 78.01
Caltech101, seed 3, 2 shot, weight 100.0, test_acc 78.34
Caltech101, seed 3, 2 shot, weight 31.622776601683796, test_acc 78.01
Caltech101, seed 3, 2 shot, weight 31.622776601683796, test_acc 78.01
Caltech101, seed 3, 2 shot, weight 31.622776601683796, test_acc 78.01
Caltech101, seed 3, 2 shot, weight 31.622776601683796, test_acc 78.01
Caltech101, seed 3, 2 shot, weight 31.622776601683796, test_acc 78.01
Caltech101, seed 3, 2 shot, weight 31.622776601683796, test_acc 78.01
CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.48
CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.48
CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.48
CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.48
CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.48
CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.48
