CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.45
CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.45
CUB200, seed 1, 1 shot, weight 1000.0, test_acc 22.45
CUB200, seed 1, 1 shot, weight 562.341325190349, test_acc 23.79
CUB200, seed 1, 1 shot, weight 562.341325190349, test_acc 23.79
CUB200, seed 1, 1 shot, weight 649.3816315762112, test_acc 22.62
CUB200, seed 1, 1 shot, weight 649.3816315762112, test_acc 22.62
CUB200, seed 1, 1 shot, weight 649.3816315762112, test_acc 22.62
CUB200, seed 2, 1 shot, weight 10.0, test_acc 25.01
CUB200, seed 2, 1 shot, weight 10.0, test_acc 25.01
CUB200, seed 2, 1 shot, weight 10.0, test_acc 25.01
CUB200, seed 2, 1 shot, weight 10.0, test_acc 25.01
CUB200, seed 2, 1 shot, weight 10.0, test_acc 25.01
CUB200, seed 2, 1 shot, weight 10.0, test_acc 25.01
CUB200, seed 2, 1 shot, weight 10.0, test_acc 25.01
CUB200, seed 2, 1 shot, weight 10.0, test_acc 25.01
CUB200, seed 3, 1 shot, weight 10.0, test_acc 24.04
CUB200, seed 3, 1 shot, weight 10.0, test_acc 24.04
CUB200, seed 3, 1 shot, weight 31.622776601683796, test_acc 23.59
CUB200, seed 3, 1 shot, weight 31.622776601683796, test_acc 23.59
CUB200, seed 3, 1 shot, weight 31.622776601683796, test_acc 23.59
CUB200, seed 3, 1 shot, weight 31.622776601683796, test_acc 23.59
CUB200, seed 3, 1 shot, weight 31.622776601683796, test_acc 23.59
CUB200, seed 3, 1 shot, weight 31.622776601683796, test_acc 23.59
CUB200, seed 1, 2 shot, weight 1000.0, test_acc 34.63
CUB200, seed 1, 2 shot, weight 100.0, test_acc 34.74
CUB200, seed 1, 2 shot, weight 100.0, test_acc 34.74
CUB200, seed 1, 2 shot, weight 177.82794100389228, test_acc 34.86
CUB200, seed 1, 2 shot, weight 177.82794100389228, test_acc 34.86
CUB200, seed 1, 2 shot, weight 177.82794100389228, test_acc 34.86
CUB200, seed 1, 2 shot, weight 177.82794100389228, test_acc 34.86
CUB200, seed 1, 2 shot, weight 177.82794100389228, test_acc 34.86
CUB200, seed 2, 2 shot, weight 10.0, test_acc 34.52
CUB200, seed 2, 2 shot, weight 10.0, test_acc 34.52
CUB200, seed 2, 2 shot, weight 10.0, test_acc 34.52
CUB200, seed 2, 2 shot, weight 10.0, test_acc 34.52
CUB200, seed 2, 2 shot, weight 10.0, test_acc 34.52
CUB200, seed 2, 2 shot, weight 10.0, test_acc 34.52
CUB200, seed 2, 2 shot, weight 10.0, test_acc 34.52
CUB200, seed 2, 2 shot, weight 10.0, test_acc 34.52
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.86
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.86
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.86
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.86
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.86
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.86
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.86
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.86
CUB200, seed 1, 4 shot, weight 10.0, test_acc 45.98
CUB200, seed 1, 4 shot, weight 10.0, test_acc 45.98
CUB200, seed 1, 4 shot, weight 31.622776601683796, test_acc 45.98
CUB200, seed 1, 4 shot, weight 31.622776601683796, test_acc 45.98
CUB200, seed 1, 4 shot, weight 31.622776601683796, test_acc 45.98
CUB200, seed 1, 4 shot, weight 27.384196342643612, test_acc 46.21
CUB200, seed 1, 4 shot, weight 29.42727176209282, test_acc 46.01
CUB200, seed 1, 4 shot, weight 29.42727176209282, test_acc 46.01
CUB200, seed 2, 4 shot, weight 10.0, test_acc 46.95
CUB200, seed 2, 4 shot, weight 10.0, test_acc 46.95
CUB200, seed 2, 4 shot, weight 10.0, test_acc 46.95
CUB200, seed 2, 4 shot, weight 17.78279410038923, test_acc 46.89
CUB200, seed 2, 4 shot, weight 13.33521432163324, test_acc 46.81
CUB200, seed 2, 4 shot, weight 13.33521432163324, test_acc 46.81
